Matrix name, Dimension, nnz, MaxNonzerosPerRow, MinNonzerosPerRow, AvgNonzerosPerRow, AbsoluteNonZeroSum, symmetricity, NonZeroPatternSymmetryV1, Trace, AbsoluteTrace, OneNorm, InfinityNorm, FrobeniusNorm, SymmetricInfinityNorm, SymmetricFrobeniusNorm, AntiSymmetricInfinityNorm, AntiSymmetricFrobeniusNorm, DiagonalAverage, RowDiagonalDominance, ColDiagonalDominance, RowVariance, ColumnVariance, lowerBandwidth, upperBandwidth, DiagonalMean, DiagonalSign, DiagonalNonZeros 
494_bus.mat, 494, 1666.000000, 10.000000, 2.000000, 3.372470, 445300.679143, 1.000000, 1.000000, 223749.667445, 223749.667445, 40015.422479, 40015.422479, 57513.159617, 2198.665256, 57513.159617, 0.000000, 0.000000, 452.934549, 1.000000, 1.000000, 1.076764, 1.076764, 428.000000, 428.000000, 452.934549, -1.000000, 494.000000 
662_bus.mat, 662, 2474.000000, 10.000000, 2.000000, 3.737160, 147443.344013, 1.000000, 1.000000, 74426.006569, 74426.006569, 4032.258030, 4032.258030, 7360.034296, 1408.668030, 7360.034296, 0.000000, 0.000000, 112.425992, 1.000000, 1.000000, 1.945713, 1.945713, 335.000000, 335.000000, 112.425992, -1.000000, 662.000000 
685_bus.mat, 685, 3249.000000, 13.000000, 2.000000, 4.743066, 397546.836190, 1.000000, 1.000000, 211735.245445, 211735.245445, 26447.354980, 26447.354980, 40139.092834, 25923.645020, 40139.092834, 0.000000, 0.000000, 309.102548, 1.000000, 1.000000, 1.114716, 1.114716, 550.000000, 550.000000, 309.102548, -1.000000, 685.000000 
Alemdar.mat, 6245, 42581.000000, 10.000000, 1.000000, 6.818415, 333269.000000, 1.000000, 1.000000, 6245.000000, 6245.000000, 82.000000, 82.000000, 1717.399488, 82.000000, 1717.399488, 0.000000, 0.000000, 1.000000, 1.000000, 1.000000, 1.000008, 1.000008, 5912.000000, 5912.000000, 1.000000, -1.000000, 6245.000000 
G1.mat, 800, 38352.000000, 67.000000, 27.000000, 47.940000, 38352.000000, 1.000000, 1.000000, 0.000000, 0.000000, 67.000000, 67.000000, 195.836667, 67.000000, 195.836667, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000058, 1.000058, 798.000000, 798.000000, 0.000000, 0.000000, 0.000000 
G10.mat, 800, 38352.000000, 70.000000, 30.000000, 47.940000, 38352.000000, 1.000000, 1.000000, 0.000000, 0.000000, 70.000000, 70.000000, 195.836667, 22.000000, 195.836667, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000089, 1.000089, 792.000000, 792.000000, 0.000000, 0.000000, 0.000000 
G11.mat, 800, 3200.000000, 4.000000, 4.000000, 4.000000, 3200.000000, 1.000000, 1.000000, 0.000000, 0.000000, 4.000000, 4.000000, 56.568542, 4.000000, 56.568542, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000006, 1.000006, 792.000000, 792.000000, 0.000000, 0.000000, 0.000000 
G12.mat, 800, 3200.000000, 4.000000, 4.000000, 4.000000, 3200.000000, 1.000000, 1.000000, 0.000000, 0.000000, 4.000000, 4.000000, 56.568542, 4.000000, 56.568542, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000006, 1.000006, 784.000000, 784.000000, 0.000000, 0.000000, 0.000000 
G13.mat, 800, 3200.000000, 4.000000, 4.000000, 4.000000, 3200.000000, 1.000000, 1.000000, 0.000000, 0.000000, 4.000000, 4.000000, 56.568542, 4.000000, 56.568542, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000006, 1.000006, 768.000000, 768.000000, 0.000000, 0.000000, 0.000000 
G14.mat, 800, 9388.000000, 132.000000, 5.000000, 11.735000, 9388.000000, 1.000000, 1.000000, 0.000000, 0.000000, 132.000000, 132.000000, 96.891692, 132.000000, 96.891692, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000009, 1.000009, 793.000000, 793.000000, 0.000000, 0.000000, 0.000000 
G15.mat, 800, 9322.000000, 153.000000, 4.000000, 11.652500, 9322.000000, 1.000000, 1.000000, 0.000000, 0.000000, 153.000000, 153.000000, 96.550505, 153.000000, 96.550505, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000009, 1.000009, 798.000000, 798.000000, 0.000000, 0.000000, 0.000000 
G16.mat, 800, 9344.000000, 123.000000, 5.000000, 11.680000, 9344.000000, 1.000000, 1.000000, 0.000000, 0.000000, 123.000000, 123.000000, 96.664368, 123.000000, 96.664368, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000009, 1.000009, 792.000000, 792.000000, 0.000000, 0.000000, 0.000000 
G17.mat, 800, 9334.000000, 143.000000, 5.000000, 11.667500, 9334.000000, 1.000000, 1.000000, 0.000000, 0.000000, 143.000000, 143.000000, 96.612629, 143.000000, 96.612629, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000009, 1.000009, 793.000000, 793.000000, 0.000000, 0.000000, 0.000000 
G18.mat, 800, 9388.000000, 132.000000, 5.000000, 11.735000, 9388.000000, 1.000000, 1.000000, 0.000000, 0.000000, 132.000000, 132.000000, 96.891692, 18.000000, 96.891692, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000009, 1.000009, 793.000000, 793.000000, 0.000000, 0.000000, 0.000000 
G19.mat, 800, 9322.000000, 153.000000, 4.000000, 11.652500, 9322.000000, 1.000000, 1.000000, 0.000000, 0.000000, 153.000000, 153.000000, 96.550505, 25.000000, 96.550505, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000009, 1.000009, 798.000000, 798.000000, 0.000000, 0.000000, 0.000000 
G2.mat, 800, 38352.000000, 66.000000, 28.000000, 47.940000, 38352.000000, 1.000000, 1.000000, 0.000000, 0.000000, 66.000000, 66.000000, 195.836667, 66.000000, 195.836667, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000071, 1.000071, 798.000000, 798.000000, 0.000000, 0.000000, 0.000000 
G20.mat, 800, 9344.000000, 123.000000, 5.000000, 11.680000, 9344.000000, 1.000000, 1.000000, 0.000000, 0.000000, 123.000000, 123.000000, 96.664368, 15.000000, 96.664368, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000009, 1.000009, 792.000000, 792.000000, 0.000000, 0.000000, 0.000000 
G21.mat, 800, 9334.000000, 143.000000, 5.000000, 11.667500, 9334.000000, 1.000000, 1.000000, 0.000000, 0.000000, 143.000000, 143.000000, 96.612629, 18.000000, 96.612629, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000009, 1.000009, 793.000000, 793.000000, 0.000000, 0.000000, 0.000000 
G22.mat, 2000, 39980.000000, 37.000000, 7.000000, 19.990000, 39980.000000, 1.000000, 1.000000, 0.000000, 0.000000, 37.000000, 37.000000, 199.949994, 37.000000, 199.949994, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000005, 1.000005, 1986.000000, 1986.000000, 0.000000, 0.000000, 0.000000 
G23.mat, 2000, 39980.000000, 36.000000, 4.000000, 19.990000, 39980.000000, 1.000000, 1.000000, 0.000000, 0.000000, 36.000000, 36.000000, 199.949994, 36.000000, 199.949994, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000004, 1.000004, 1984.000000, 1984.000000, 0.000000, 0.000000, 0.000000 
G24.mat, 2000, 39980.000000, 38.000000, 6.000000, 19.990000, 39980.000000, 1.000000, 1.000000, 0.000000, 0.000000, 38.000000, 38.000000, 199.949994, 38.000000, 199.949994, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000007, 1.000007, 1976.000000, 1976.000000, 0.000000, 0.000000, 0.000000 
G25.mat, 2000, 39980.000000, 39.000000, 8.000000, 19.990000, 39980.000000, 1.000000, 1.000000, 0.000000, 0.000000, 39.000000, 39.000000, 199.949994, 39.000000, 199.949994, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000005, 1.000005, 1976.000000, 1976.000000, 0.000000, 0.000000, 0.000000 
G26.mat, 2000, 39980.000000, 40.000000, 7.000000, 19.990000, 39980.000000, 1.000000, 1.000000, 0.000000, 0.000000, 40.000000, 40.000000, 199.949994, 40.000000, 199.949994, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000004, 1.000004, 1991.000000, 1991.000000, 0.000000, 0.000000, 0.000000 
G27.mat, 2000, 39980.000000, 37.000000, 7.000000, 19.990000, 39980.000000, 1.000000, 1.000000, 0.000000, 0.000000, 37.000000, 37.000000, 199.949994, 17.000000, 199.949994, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000005, 1.000005, 1986.000000, 1986.000000, 0.000000, 0.000000, 0.000000 
G28.mat, 2000, 39980.000000, 35.000000, 8.000000, 19.990000, 39980.000000, 1.000000, 1.000000, 0.000000, 0.000000, 35.000000, 35.000000, 199.949994, 18.000000, 199.949994, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000005, 1.000005, 1985.000000, 1985.000000, 0.000000, 0.000000, 0.000000 
G29.mat, 2000, 39980.000000, 38.000000, 6.000000, 19.990000, 39980.000000, 1.000000, 1.000000, 0.000000, 0.000000, 38.000000, 38.000000, 199.949994, 15.000000, 199.949994, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000007, 1.000007, 1976.000000, 1976.000000, 0.000000, 0.000000, 0.000000 
G3.mat, 800, 38352.000000, 69.000000, 30.000000, 47.940000, 38352.000000, 1.000000, 1.000000, 0.000000, 0.000000, 69.000000, 69.000000, 195.836667, 69.000000, 195.836667, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000073, 1.000073, 793.000000, 793.000000, 0.000000, 0.000000, 0.000000 
G30.mat, 2000, 39980.000000, 39.000000, 8.000000, 19.990000, 39980.000000, 1.000000, 1.000000, 0.000000, 0.000000, 39.000000, 39.000000, 199.949994, 17.000000, 199.949994, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000006, 1.000006, 1976.000000, 1976.000000, 0.000000, 0.000000, 0.000000 
G31.mat, 2000, 39980.000000, 40.000000, 7.000000, 19.990000, 39980.000000, 1.000000, 1.000000, 0.000000, 0.000000, 40.000000, 40.000000, 199.949994, 17.000000, 199.949994, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000005, 1.000005, 1991.000000, 1991.000000, 0.000000, 0.000000, 0.000000 
G32.mat, 2000, 8000.000000, 4.000000, 4.000000, 4.000000, 8000.000000, 1.000000, 1.000000, 0.000000, 0.000000, 4.000000, 4.000000, 89.442719, 4.000000, 89.442719, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000001, 1.000001, 1980.000000, 1980.000000, 0.000000, 0.000000, 0.000000 
G33.mat, 2000, 8000.000000, 4.000000, 4.000000, 4.000000, 8000.000000, 1.000000, 1.000000, 0.000000, 0.000000, 4.000000, 4.000000, 89.442719, 4.000000, 89.442719, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000001, 1.000001, 1975.000000, 1975.000000, 0.000000, 0.000000, 0.000000 
G34.mat, 2000, 8000.000000, 4.000000, 4.000000, 4.000000, 8000.000000, 1.000000, 1.000000, 0.000000, 0.000000, 4.000000, 4.000000, 89.442719, 4.000000, 89.442719, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000001, 1.000001, 1960.000000, 1960.000000, 0.000000, 0.000000, 0.000000 
G35.mat, 2000, 23556.000000, 210.000000, 4.000000, 11.778000, 23556.000000, 1.000000, 1.000000, 0.000000, 0.000000, 210.000000, 210.000000, 153.479640, 210.000000, 153.479640, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000001, 1.000001, 1996.000000, 1996.000000, 0.000000, 0.000000, 0.000000 
G36.mat, 2000, 23532.000000, 326.000000, 4.000000, 11.766000, 23532.000000, 1.000000, 1.000000, 0.000000, 0.000000, 326.000000, 326.000000, 153.401434, 326.000000, 153.401434, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000001, 1.000001, 1997.000000, 1997.000000, 0.000000, 0.000000, 0.000000 
G37.mat, 2000, 23570.000000, 279.000000, 4.000000, 11.785000, 23570.000000, 1.000000, 1.000000, 0.000000, 0.000000, 279.000000, 279.000000, 153.525242, 279.000000, 153.525242, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000001, 1.000001, 1991.000000, 1991.000000, 0.000000, 0.000000, 0.000000 
G38.mat, 2000, 23558.000000, 249.000000, 4.000000, 11.779000, 23558.000000, 1.000000, 1.000000, 0.000000, 0.000000, 249.000000, 249.000000, 153.486156, 249.000000, 153.486156, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000001, 1.000001, 1997.000000, 1997.000000, 0.000000, 0.000000, 0.000000 
G39.mat, 2000, 23556.000000, 210.000000, 4.000000, 11.778000, 23556.000000, 1.000000, 1.000000, 0.000000, 0.000000, 210.000000, 210.000000, 153.479640, 43.000000, 153.479640, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000002, 1.000002, 1996.000000, 1996.000000, 0.000000, 0.000000, 0.000000 
G4.mat, 800, 38352.000000, 75.000000, 29.000000, 47.940000, 38352.000000, 1.000000, 1.000000, 0.000000, 0.000000, 75.000000, 75.000000, 195.836667, 75.000000, 195.836667, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000069, 1.000069, 796.000000, 796.000000, 0.000000, 0.000000, 0.000000 
G40.mat, 2000, 23532.000000, 326.000000, 4.000000, 11.766000, 23532.000000, 1.000000, 1.000000, 0.000000, 0.000000, 326.000000, 326.000000, 153.401434, 29.000000, 153.401434, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000002, 1.000002, 1997.000000, 1997.000000, 0.000000, 0.000000, 0.000000 
G41.mat, 2000, 23570.000000, 279.000000, 4.000000, 11.785000, 23570.000000, 1.000000, 1.000000, 0.000000, 0.000000, 279.000000, 279.000000, 153.525242, 22.000000, 153.525242, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000001, 1.000001, 1991.000000, 1991.000000, 0.000000, 0.000000, 0.000000 
G42.mat, 2000, 23558.000000, 249.000000, 4.000000, 11.779000, 23558.000000, 1.000000, 1.000000, 0.000000, 0.000000, 249.000000, 249.000000, 153.486156, 43.000000, 153.486156, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000002, 1.000002, 1997.000000, 1997.000000, 0.000000, 0.000000, 0.000000 
G43.mat, 1000, 19980.000000, 36.000000, 7.000000, 19.980000, 19980.000000, 1.000000, 1.000000, 0.000000, 0.000000, 36.000000, 36.000000, 141.350628, 36.000000, 141.350628, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000021, 1.000021, 991.000000, 991.000000, 0.000000, 0.000000, 0.000000 
G44.mat, 1000, 19980.000000, 37.000000, 7.000000, 19.980000, 19980.000000, 1.000000, 1.000000, 0.000000, 0.000000, 37.000000, 37.000000, 141.350628, 37.000000, 141.350628, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000020, 1.000020, 987.000000, 987.000000, 0.000000, 0.000000, 0.000000 
G45.mat, 1000, 19980.000000, 35.000000, 6.000000, 19.980000, 19980.000000, 1.000000, 1.000000, 0.000000, 0.000000, 35.000000, 35.000000, 141.350628, 35.000000, 141.350628, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000022, 1.000022, 997.000000, 997.000000, 0.000000, 0.000000, 0.000000 
G46.mat, 1000, 19980.000000, 35.000000, 8.000000, 19.980000, 19980.000000, 1.000000, 1.000000, 0.000000, 0.000000, 35.000000, 35.000000, 141.350628, 35.000000, 141.350628, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000023, 1.000023, 986.000000, 986.000000, 0.000000, 0.000000, 0.000000 
G47.mat, 1000, 19980.000000, 34.000000, 8.000000, 19.980000, 19980.000000, 1.000000, 1.000000, 0.000000, 0.000000, 34.000000, 34.000000, 141.350628, 34.000000, 141.350628, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000022, 1.000022, 992.000000, 992.000000, 0.000000, 0.000000, 0.000000 
G48.mat, 3000, 12000.000000, 4.000000, 4.000000, 4.000000, 12000.000000, 1.000000, 1.000000, 0.000000, 0.000000, 4.000000, 4.000000, 109.544512, 4.000000, 109.544512, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000000, 1.000000, 2940.000000, 2940.000000, 0.000000, 0.000000, 0.000000 
G49.mat, 3000, 12000.000000, 4.000000, 4.000000, 4.000000, 12000.000000, 1.000000, 1.000000, 0.000000, 0.000000, 4.000000, 4.000000, 109.544512, 4.000000, 109.544512, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000000, 1.000000, 2900.000000, 2900.000000, 0.000000, 0.000000, 0.000000 
G5.mat, 800, 38352.000000, 70.000000, 30.000000, 47.940000, 38352.000000, 1.000000, 1.000000, 0.000000, 0.000000, 70.000000, 70.000000, 195.836667, 70.000000, 195.836667, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000083, 1.000083, 792.000000, 792.000000, 0.000000, 0.000000, 0.000000 
G50.mat, 3000, 12000.000000, 4.000000, 4.000000, 4.000000, 12000.000000, 1.000000, 1.000000, 0.000000, 0.000000, 4.000000, 4.000000, 109.544512, 4.000000, 109.544512, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000000, 1.000000, 2880.000000, 2880.000000, 0.000000, 0.000000, 0.000000 
G51.mat, 1000, 11818.000000, 156.000000, 5.000000, 11.818000, 11818.000000, 1.000000, 1.000000, 0.000000, 0.000000, 156.000000, 156.000000, 108.710625, 156.000000, 108.710625, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000006, 1.000006, 998.000000, 998.000000, 0.000000, 0.000000, 0.000000 
G52.mat, 1000, 11832.000000, 171.000000, 5.000000, 11.832000, 11832.000000, 1.000000, 1.000000, 0.000000, 0.000000, 171.000000, 171.000000, 108.774997, 171.000000, 108.774997, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000006, 1.000006, 991.000000, 991.000000, 0.000000, 0.000000, 0.000000 
G53.mat, 1000, 11828.000000, 136.000000, 5.000000, 11.828000, 11828.000000, 1.000000, 1.000000, 0.000000, 0.000000, 136.000000, 136.000000, 108.756609, 136.000000, 108.756609, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000006, 1.000006, 996.000000, 996.000000, 0.000000, 0.000000, 0.000000 
G54.mat, 1000, 11832.000000, 136.000000, 5.000000, 11.832000, 11832.000000, 1.000000, 1.000000, 0.000000, 0.000000, 136.000000, 136.000000, 108.774997, 136.000000, 108.774997, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000006, 1.000006, 992.000000, 992.000000, 0.000000, 0.000000, 0.000000 
G55.mat, 5000, 24996.000000, 15.000000, 0.000000, 4.999200, 24996.000000, 1.000000, 1.000000, 0.000000, 0.000000, 15.000000, 15.000000, 158.101233, 15.000000, 158.101233, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000000, 1.000000, 4990.000000, 4990.000000, 0.000000, 0.000000, 0.000000 
G56.mat, 5000, 24996.000000, 15.000000, 0.000000, 4.999200, 24996.000000, 1.000000, 1.000000, 0.000000, 0.000000, 15.000000, 15.000000, 158.101233, 10.000000, 158.101233, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000000, 1.000000, 4990.000000, 4990.000000, 0.000000, 0.000000, 0.000000 
G57.mat, 5000, 20000.000000, 4.000000, 4.000000, 4.000000, 20000.000000, 1.000000, 1.000000, 0.000000, 0.000000, 4.000000, 4.000000, 141.421356, 4.000000, 141.421356, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000000, 1.000000, 4950.000000, 4950.000000, 0.000000, 0.000000, 0.000000 
G58.mat, 5000, 59140.000000, 561.000000, 4.000000, 11.828000, 59140.000000, 1.000000, 1.000000, 0.000000, 0.000000, 561.000000, 561.000000, 243.187171, 561.000000, 243.187171, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000000, 1.000000, 4995.000000, 4995.000000, 0.000000, 0.000000, 0.000000 
G59.mat, 5000, 59140.000000, 561.000000, 4.000000, 11.828000, 59140.000000, 1.000000, 1.000000, 0.000000, 0.000000, 561.000000, 561.000000, 243.187171, 27.000000, 243.187171, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000000, 1.000000, 4995.000000, 4995.000000, 0.000000, 0.000000, 0.000000 
G6.mat, 800, 38352.000000, 67.000000, 27.000000, 47.940000, 38352.000000, 1.000000, 1.000000, 0.000000, 0.000000, 67.000000, 67.000000, 195.836667, 29.000000, 195.836667, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000061, 1.000061, 798.000000, 798.000000, 0.000000, 0.000000, 0.000000 
G60.mat, 7000, 34296.000000, 14.000000, 0.000000, 4.899429, 34296.000000, 1.000000, 1.000000, 0.000000, 0.000000, 14.000000, 14.000000, 185.191792, 14.000000, 185.191792, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000000, 1.000000, 6943.000000, 6943.000000, 0.000000, 0.000000, 0.000000 
G61.mat, 7000, 34296.000000, 14.000000, 0.000000, 4.899429, 34296.000000, 1.000000, 1.000000, 0.000000, 0.000000, 14.000000, 14.000000, 185.191792, 9.000000, 185.191792, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000000, 1.000000, 6943.000000, 6943.000000, 0.000000, 0.000000, 0.000000 
G62.mat, 7000, 28000.000000, 4.000000, 4.000000, 4.000000, 28000.000000, 1.000000, 1.000000, 0.000000, 0.000000, 4.000000, 4.000000, 167.332005, 4.000000, 167.332005, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000000, 1.000000, 6930.000000, 6930.000000, 0.000000, 0.000000, 0.000000 
G63.mat, 7000, 82918.000000, 589.000000, 4.000000, 11.845429, 82918.000000, 1.000000, 1.000000, 0.000000, 0.000000, 589.000000, 589.000000, 287.954858, 589.000000, 287.954858, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000000, 1.000000, 6993.000000, 6993.000000, 0.000000, 0.000000, 0.000000 
G64.mat, 7000, 82918.000000, 589.000000, 4.000000, 11.845429, 82918.000000, 1.000000, 1.000000, 0.000000, 0.000000, 589.000000, 589.000000, 287.954858, 19.000000, 287.954858, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000000, 1.000000, 6993.000000, 6993.000000, 0.000000, 0.000000, 0.000000 
G65.mat, 8000, 32000.000000, 4.000000, 4.000000, 4.000000, 32000.000000, 1.000000, 1.000000, 0.000000, 0.000000, 4.000000, 4.000000, 178.885438, 4.000000, 178.885438, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000000, 1.000000, 7920.000000, 7920.000000, 0.000000, 0.000000, 0.000000 
G66.mat, 9000, 36000.000000, 4.000000, 4.000000, 4.000000, 36000.000000, 1.000000, 1.000000, 0.000000, 0.000000, 4.000000, 4.000000, 189.736660, 4.000000, 189.736660, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000000, 1.000000, 8900.000000, 8900.000000, 0.000000, 0.000000, 0.000000 
G67.mat, 10000, 40000.000000, 4.000000, 4.000000, 4.000000, 40000.000000, 1.000000, 1.000000, 0.000000, 0.000000, 4.000000, 4.000000, 200.000000, 4.000000, 200.000000, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000000, 1.000000, 9900.000000, 9900.000000, 0.000000, 0.000000, 0.000000 
G7.mat, 800, 38352.000000, 66.000000, 28.000000, 47.940000, 38352.000000, 1.000000, 1.000000, 0.000000, 0.000000, 66.000000, 66.000000, 195.836667, 20.000000, 195.836667, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000075, 1.000075, 798.000000, 798.000000, 0.000000, 0.000000, 0.000000 
G8.mat, 800, 38352.000000, 69.000000, 30.000000, 47.940000, 38352.000000, 1.000000, 1.000000, 0.000000, 0.000000, 69.000000, 69.000000, 195.836667, 28.000000, 195.836667, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000078, 1.000078, 793.000000, 793.000000, 0.000000, 0.000000, 0.000000 
G9.mat, 800, 38352.000000, 75.000000, 29.000000, 47.940000, 38352.000000, 1.000000, 1.000000, 0.000000, 0.000000, 75.000000, 75.000000, 195.836667, 26.000000, 195.836667, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000073, 1.000073, 796.000000, 796.000000, 0.000000, 0.000000, 0.000000 
Hamrle1.mat, 32, 98.000000, 5.000000, 2.000000, 3.062500, 690.985166, 0.000000, 0.000000, 3.646073, 4.053927, 315.747732, 315.747732, 313.676209, 2.309241, 221.802378, 2.610675, 221.802772, 0.126685, 0.000000, 0.000000, 1.002016, 1.002016, 24.000000, 19.000000, 0.113940, -1.000000, 5.000000 
Harvard500.mat, 500, 2636.000000, 195.000000, 1.000000, 5.272000, 2636.000000, 0.000000, 0.000000, 73.000000, 73.000000, 103.000000, 195.000000, 51.341991, 110.500000, 43.295496, 84.500000, 27.595289, 0.146000, 0.000000, 0.000000, 1.000008, 1.000008, 446.000000, 497.000000, 0.146000, -1.000000, 73.000000 
